title,article,label,url
Slovenia declares all of Hezbollah a ‘criminal and terrorist organization’,"FM Ashkenazi hails Central European nation for joining growing list of countries blacklisting Iranian-backed group in its entirety, calls on EU to follow suit
By RAPHAEL AHREN 


Supporters of the Lebanese terror group Hezbollah salute as they stand behind motorcycles carrying the Shiite movement's flags in the southern Lebanese district of Marjayoun on the border with Israel, May 25, 2020. (Mahmoud Zayyat/AFP)
Supporters of the Lebanese terror group Hezbollah salute as they stand behind motorcycles carrying the Shiite movement's flags in the southern Lebanese district of Marjayoun on the border with Israel, May 25, 2020. (Mahmoud Zayyat/AFP)
Slovenia on Monday designated Hezbollah in its entirety a terrorist organization, joining a growing number of European states who have taken similar steps in recent weeks to end differentiation between the group’s political and armed wings.

In a statement, the small Central European state’s government said that it will henceforth treat the Iranian-backed, Lebanon-based group as “a criminal and terrorist organization posing a threat to peace and security.”
“Hezbollah’s activities are intertwined with organized crime and the conduct of terrorist or paramilitary activities on a global scale,” the government in Ljubljana said in a statement.

Get The Times of Israel's Daily Edition by email and never miss our top storiesFREE SIGN UP
The decision followed the recommendations by the Permanent Coordination Group for Restrictive Measures, which is headed by a Slovenian Foreign Ministry official, which presented the government with a report on Hezbollah’s “activities and mode of operation,” according to the statement.

Foreign Minister Gabi Ashkenazi thanked Ljubljana for the move. “This decision joins decisions made in recent months by governments in Europe and Latin American. Hezbollah is an organization that first and foremost hurts Lebanese citizens themselves and takes them hostage to serve Iran’s interests,” he said in a statement.

He called on other nations and on the European Union to follow suit.

Elnet, a nonprofit dedicated to promoting Israel-Europe relations, welcomed Slovenia’s decision. “Slovenia joins a growing number of European countries that made this important step sending a clear message against violence, terrorism, and hatred,” the group said in a statement.

“Hezbollah has a long history of terror and terror-related activities against European targets and in Europe. Further action is necessary on the European level to address these threats.”


Illustrative: A Hezbollah supporter chants slogans as he holds his group’s flag during a protest against US involvement in Lebanon’s affairs, near the US embassy in Aukar, northeast of Beirut, Lebanon, July 10, 2020. (AP Photo/Hussein Malla)
Also on Monday, the US State Department hailed Latvia’s recent decision to consider all of Hezbollah a terrorist organization.

“Latvia supports US implementation of sanctions related to Hizballah and has expressed a readiness to place national travel bans on individuals associated with Hizballah,” a spokesperson said in a statement.

“The continued announcements by countries in Europe, Latin America, and other regions of actions against the terrorist organization send a strong message to Hizballah and its backers in Iran that a new day is coming,” the statement went on.

“On this new day, Hizballah operatives will no longer be able to operate from European soil, and the European Union will follow the lead of a number of European governments by closing the loopholes opened up by the false distinction between Hizballah’s so-called military and political wings.”

Until recently, most European countries considered only Hezbollah’s “military wing” a terrorist organization, arguing that its political wing is an integral part of Lebanon’s political landscape.

In the last year and a half, 16 countries announced that they consider the group in its entirety a terrorist organization — nine of them in the last six months — according to the Foreign Ministry. These countries include Germany, Great Britain, the Netherlands, Lithuania, Estonia, Guatemala, Honduras, Argentina, Colombia and others.",am,https://www.timesofisrael.com/slovenia-declares-all-of-hezbollah-a-criminal-and-terrorist-organization/
"Vienna IS Terrorist wanted to massacre Catholic Youth group inside Church, investigation reveals","When the shots were fired, 17 people present in the church reacted with the presence of mind and hid after switching off the lights. They stayed hidden until 2:30 AM on Tuesday until the police gave them the all-clear so that they could go home.

As per the report published in Austrian daily Kronen Zeitung, the ISIS terrorist identified as Abu Dagnah Al-Albany, the man behind the attack that took place on November 2 across central Vienna, wanted to cause a bloodbath of the Catholic Youth group in Ruprechtskirche during the prayer time in the evening. He had failed as the door was locked by the timer.

Karl Nehammer, the Interior Minister, is working on increasing the security at the local churches for the Christmas season.

The main target was the Catholic group at the church
When the Catholic Group was holding a non-public prayer hour in the Ruprecht Church, the terrorist wanted to attack with an assault rifle. However, as the gates of the church were locked, he failed. The WEGA agents shot him dead a few moments later in front of the church. The shocked women and children were interviewed by the investigation team “Investigative Group 2 November”.

The authorities have announced that they will release the interim report of the Commission detailing the breakdown of the investigation carried out by anti-terror forces before Christmas.

Attack details provided by Archdiocese official
Michael Prüller, the spokesman of the Vienna Archdiocese, detailed the situation during the attack. When the shots were fired, 17 people present in the church reacted with the presence of mind and hid after switching off the lights. They stayed hidden until 2:30 AM on Tuesday until the police gave them the all-clear so that they could go home.

The Vienna Attack
On November 2, the ISIS terrorist had opened fire across Vienna. As per Vienna Police, at around 8 PM local time, several shots were fired at a busy street in the city centre. The attack happened at six locations. Three, including the attacker, were killed. On November 3, the Vienna authorities confirmed that the attacker was affiliated with the terrorist organization ISIS.

Further investigation revealed that he was released early on terror charges in 2019. At that time, he defended himself by claiming that he went to the ‘wrong mosque’. On November 6, Austria announced that they are shutting down radical mosques that were visited frequently by the terrorist.",am,https://www.opindia.com/2020/12/vienna-isis-terrorist-wanted-bloodbath-catholic-youth-group-inside-church-investigation/
"Two Bellingham women suspected in terrorist attack against BNSF, endangering the public","Two Bellingham women were charged with a terrorist attack and violence against the BNSF Railway Company after they allegedly interfered with the railroad’s safety features last weekend by placing a shunt on the tracks near Bellingham.

Samantha Frances Brooks, 27, and Ellen Brennan Reiche, 23, were booked into the Whatcom County Jail on Sunday, Nov. 29, each on suspicion of malicious injury to railroad property and second-degree criminal trespassing. Jail records show both were transferred into federal custody on Monday, Nov. 30.

Brooks and Reiche appeared in federal court in Seattle on Monday, when they were charged with terrorist attack and other violence against a railroad carrier, according to a U.S. Department of Justice release.

A shunt is an object that disrupts the low-level electrical current on railroad tracks and disables various safety features and can cause derailment, decoupling or failure of gates at crossings, endangering the public, according to the release. Shunts are comprised of wire and magnets stretched between the track so that they can disrupt systems that normally would show when a train is on the tracks.

“Since January there have been 41 incidents of shunts placed on the BNSF tracks in Whatcom and Skagit counties — causing crossing guards to malfunction, interfering with automatic breaking (sic) systems, and, in one case, causing the near-derailment of tanks of hazardous chemicals,” U.S. Attorney Brian T. Moran said in the release. “These crimes endanger our community.”

Ten times, shunts disrupted crossing gates at vehicle crossings, according to the release, making it so cars may have crossed tracks unaware that trains were approaching.

On Oct. 11, multiple shunts were placed in three locations in Whatcom and Skagit counties and triggered an automatic braking system on a train transporting hazardous, combustible material, the release states. The emergency braking caused a portion of the train to decouple from the engine, causing a potential derailment of tanker cars carrying flammable gas in a residential area.

“I commend the agents from Customs and Border Protection, FBI, BNSF Police, and state and local partners who prioritized stopping this criminal conduct,” Moran said.

The FBI’s Terrorism Task Force had been investigating shunts being placed on BNSF tracks in the area since Jan. 19, 2020, according to the criminal complaint.

Shortly after the first shunts were discovered in January, the release said that a claim of responsibility was published on an anarchist website.

On Saturday, Nov. 28, BNSF police viewed video surveillance of two people kneeling on tracks near a Bellingham crossing, according to the release. Whatcom County Sheriff’s deputies responded and arrested Brooks and Reiche for trespassing.

Brooks and Reiche had a paper bag containing wire, a drill with a brush head and rubber gloves, according to the release, and the wire was similar to that used in other shunts that had been left.

The shunt that Brooks and Reiche placed on the tracks could have interfered with the railroad crossing signal at Cliffside Drive, south of Bellingham International Airport, the release states.

Convictions for terrorist attacks on railroad facilities could carry up to 20 years in prison and a $250,000 file, according to the release.",am,https://www.bellinghamherald.com/news/local/crime/article247516325.html
Turkish soldier martyred by terrorists in N.Syria,"6 YPG/PKK terrorists also neutralized in Operation Olive Branch zone, south of Turkish border

A Turkish soldier was martyred and six YPG/PKK terrorists were neutralized in the Operation Olive Branch zone in northern Syria, across Turkey’s southern border, the Turkish National Defense Ministry said Thursday.

The soldier was martyred in a clash that broke out to repel an attempt by YPG/PKK terrorists to infiltrate the Olive Branch zone, the ministry said in a statement.

Operations continue with unmanned aerial vehicles and armed drones in the region, it stressed.

The ministry offered condolences to the soldier’s family and the Turkish nation.

Turkish authorities use the term “neutralize"" to imply the terrorists in question surrendered or were killed or captured.

Turkey liberated the zone from terrorists last year, but YPG/PKK terrorists occasionally try to infiltrate it to disrupt the stability and peace established there.

Since 2016, Turkey has launched a trio of successful anti-terror operations in northern Syria, across its border, to prevent the formation of a terror corridor and to enable the peaceful settlement of residents: Euphrates Shield (2016), Olive Branch (2018), and Peace Spring (2019).

In its more than 30-year terror campaign against Turkey, the PKK –listed as a terrorist organization by Turkey, the US, and the EU– has been responsible for the deaths of 40,000 people, including women, children, and infants.",am,https://www.aa.com.tr/en/turkey/turkish-soldier-martyred-by-terrorists-in-nsyria/2064369
"Benbrika in touch with IS fighters and jailed terrorists, court told","Convicted terror plotter Abdul Nacer Benbrika made contact while in prison with Islamic State fighters and people who were later jailed for terrorism offences, a court was told during an application to keep him locked up.

Benbrika has completed a 15-year jail term over a plot to bomb Melbourne's Crown casino and the MCG but the federal government wants a Supreme Court judge to order he stay in prison for another three years out of concern that he still poses a risk to the community.

Abdul Nacer Benbrika was sentenced to 15 years in prison in 2009 for leading a Melbourne-based terrorist cell.
Abdul Nacer Benbrika was sentenced to 15 years in prison in 2009 for leading a Melbourne-based terrorist cell.

People convicted of terror offences can be kept in detention for up to three years after their sentence ends if a supreme court grants an application by the home affairs minister. Despite having finished his jail term, Benbrika remains in prison while Justice Andrew Tinney considers the government's application.

Home Affairs Minister Peter Dutton has cancelled Benbrika's Australian citizenship, which means he will be deported to his native Algeria when he is released from prison. However, the government argues the best way to ensure he does not reoffend is to keep him in prison here.

Benbrika's lawyers oppose the application and argue the 60-year has completed his jail term.

On Mondya, the first day of a trial to decide what happens to Benbrika was told Australian authorities monitored 19 people who were in contact with him after his arrest in 2005. The contacts, including Khaled Sharrouf and another man, who both joined and fought for Islamic State in the Middle East, were tracked via intercepted phone calls, visits and correspondence.

Khaled Sharrouf: a follower of Abdel Nacer Benbrika, he went on to join Islamic State and was killed in Syria.
Khaled Sharrouf: a follower of Abdel Nacer Benbrika, he went on to join Islamic State and was killed in Syria.

Two of Benbrika's sons and men who were later jailed for terrorism offences were also among those who were in contact with the leader while he was in custody and who have caused alarm for authorities.

Rowena Orr, QC, acting for the Home Affairs Department, said national authorities, counter-terrorism officials and forensic psychologists who had interviewed Benbrika all believed he maintained an adherence to extreme Islamic ideology, supported the use of violent jihad, radicalised others and was influential over those who regarded him as a guiding figure.

""Nothing has changed"" about Benbrika's beliefs and devotion to his cause since his arrest in 2005, Ms Orr told Justice Tinney.

Ms Orr spent all of Monday outlining the government's case for Benbrika to remain in prison, which included reading transcripts of intercepted conversations the prisoner had with associates while he was behind bars.

Abdul Nacer Benbrika has served 15 years in prison.

In one conversation, Benbrika had praise and admiration for those behind the 2001 terror attacks on the US and on London in 2005, and justified the killing of ""innocents"", including children, women and the elderly, in the name of his extremist beliefs.

""As a Muslim you are allowed to get your revenge,"" Benbrika told the associate.

Part of the motivation behind Benbrika's plot to bomb the casino and MCG was to coerce the Australian government to withdraw its troops from Iraq.

""If they mutilate we are allowed to mutilate ... it's our right,"" Benbrika said in one of the recorded conversations read to court.

Ms Orr also played a 2005 interview of Benbrika with the ABC's The 7.30 Report in which he labelled terror leader Osama bin Laden ""a great man"", said there was ""an Australian law and an Islamic law"", and justified the use of violence for extremist religious beliefs.

""According to my religion, jihad is a part of my religion,"" Benbrika said in the 2005 interview. He was arrested later that year and has been in custody ever since. He was found guilty at trial in 2008 and formally sentenced in 2009.

Ms Orr told Justice Tinney that psychologists found Benbrika still adhered to violent extremism, had the ability to influence, indoctrinate and radicalise his followers and lacked insight and remorse for his offending, other than that for himself and his family.

His claims to authorities that he had denounced his radical beliefs were self-serving attempts to get parole, Ms Orr said, and there was no evidence he had changed his views.

B enbrika denied sentence reduction
The leader of a terrorist cell convicted of plotting to wage violent jihad on Australian soil has failed to have his sentence reduced on appeal.

Lawyers for the government argue that if released from prison, Benbrika poses a high risk of engaging in terrorist acts, training and recruiting others and funding and supporting terror organisations. His being abroad would make it difficult for Australian authorities to monitor him.

""The safety and protection of the community requires that the defendant remains in detention for at least the next three years,"" Ms Orr said.

Benbrika's lawyers are yet to address Justice Tinney.

Benbrika watched Monday's hearing on a video link from prison and the only time he spoke was to ask Ms Orr to speak into the microphone so he could hear.

Ms Orr will continue outlining the government's case on Tuesday. The trial is expected to run this week.",am,https://www.smh.com.au/national/benbrika-in-touch-with-is-fighters-and-jailed-terrorists-court-told-20201130-p56j8u.html
Former journalist charged with planning terrorist attack in Queensland,"James Waugh faced court on Saturday charged with ‘planning to undertake a terrorist act in the Bundaberg region’

A former journalist has been charged with allegedly planning a terrorist attack in the regional Queensland city of Bundaberg.

James Waugh faced a Brisbane court on Saturday after he was charged by police on Friday with planning a terrorist act for the Bundaberg region. Police also allege the 29-year-old had “sought firearms training”.

A Queensland joint counter-terrorism team allegedly found a number of electronic devices and a notebook when officers searched Waugh’s Kepnock address on 3 November after he allegedly threatened a member of the public.

Australian federal police and Queensland police in a joint statement said the seized documents indicated “a desire to undertake acts of violent extremism”.

AFP assistant commissioner Scott Lee said the decision to charge Waugh was made “to prevent a terrorist attack in Australia and to protect the community”.

Cheryl Scanlon, a Queensland police assistant commissioner, said the arrest was a credit to the hard work and “commitment to community safety” of law enforcement agencies.

Waugh did not apply for bail when he faced Brisbane arrest court on Saturday, according to Nine News. He is due to face court again in December on the terrorism charge that carries a maximum penalty of life imprisonment.

Waugh previously worked for several different news outlets, including the Queanbeyan Age and Canberra Chronicle, the ABC reported.
",am,https://www.theguardian.com/australia-news/2020/nov/29/former-journalist-charged-with-planning-terrorist-attack-in-queensland
NJ Woman With Military Background Arrested for Alleged Syrian Terrorist Support,"The 53-year-old hospital analyst and political activist allegedly provided money and tactical advice to the al-Nusra Front

The FBI arrested a woman for allegedly helping aid al Qaeda-linked terrorists overseas, and seized a cache of firearms during a raid at her home in Hopatcong. NBC New York’s Jonathan Dienst reports.

What to Know
Maria Bell, a hospital analyst from New Jersey, was arrested Wednesday for allegedly providing financial and tactical support to terrorists in Syria
Bell, 53, is an Army veteran who was allegedly stopped once from going to Turkey and was trying to head there again
An FBI search of her home Wednesday turned up a significant cache of guns
FBI agents arrested a New Jersey woman early Wednesday on federal charges of providing material support to the al-Nusra Front, a terrorist group described as al-Qaeda in Syria.

Maria Bell, 53, of Hopatcong, is charged with providing material support to the al-Nusra Front, also known as the Hay’at Tahrir al-Sham (HTS), which operates in northwest Syria. A search of her home Wednesday morning turned up a significant cache of weapons.

Bell served in the U.S. Army National Guard and on active duty in the Army for a total of 14 months from late 1984 to early 1986.  She received an “other than honorable discharge"" in lieu of a court martial, according to court papers.

Between 2017 and 2018 she allegedly used encrypted applications to communicate with one HTS member with whom she had an online relationship. She allegedly gave advice on the purchase of weapons and ammunition, planned to meet him in Turkey, and sent him money.

Bell -- who was previously stopped by the FBI from traveling to Turkey -- was planning to fly to Egypt on Wednesday and then on to Istanbul, according to an FBI affidavit filed Tuesday.

She appeared via videoconference in federal court in Newark Wednesday afternoon, and was ordered detained without bail. Not date has been set for a future hearing. Bell's attorney declined to comment.

""Have no doubt, we believe she was a threat to New Jersey and certainly our country,"" said New Jersey Homeland Security Director Jared Maples.

""No matter what anyone looks like, no matter what religion they practice, that's not what factors into this. The behaviors factor into this and I think this case is one of the clearest examples of that,"" Maples said. ""You don't get to pick who you dislike, that they dislike. They all hate us. They hate our way of life. They certainly are espousing ideologies to attack Americans and certainly something that we are on point and worried about.""

Bell's employer, Atlantic Health System, where she worked as an analyst, said she has been suspended. She was also chair of the New Jersey Libertarian Party's northern New Jersey branch. The party, in a statement, said its board removed her from her position and cancelled her membership, and it condemned violence as well.

The U.S. Attorney's Office said the single charge of concealment of terrorist financing to a designated foreign terrorist organization carries a maximum penalty of 10 years in prison and a fine of $250,000.",am,https://www.nbcnewyork.com/news/local/crime-and-courts/nj-woman-with-military-background-arrested-for-alleged-syrian-terrorist-support/2745551/
France train attack: Four men go on trial in Paris over foiled Thalys terrorist shooting,"Four men went on trial in Paris on Monday over a foiled terrorist attack on board a high-speed international train in the summer of 2015.

Ayoub El-Khazzani stands accused of opening fire on a Thalys train travelling from Amsterdam to Paris in August 2015, three months before the Paris terror attacks on November 13.

Two people were wounded in the attack before the shooter was subdued by three American passengers, two of whom were soldiers.

Three others are on trial suspected of helping El-Khazzani plan the attack. Bilal Chatra, Redouane El-Amrani Ezzerrifi and Mohamed Bakkali face lesser charges, including conspiring with terrorists and accomplices to attempted murder.

European leaders lay out fresh plans to fight religious extremism
Five years after Paris' deadly terror attacks, the scars remain
If found guilty, El-Khazzani could face a life sentence over charges of attempted murder and conspiracy to commit a terrorist act.

El-Khazzani is believed to have joined the so-called Islamic State group in Syria in May 2015. That summer, he set off for Europe from Turkey with his sponsor, Abdelhamid Abaaoud, who led the jihadist cell in Belgium that planned the Paris attacks on November 13.

According to the investigators, the Thalys attack was part of a series of jihadist attacks planned from Syria: the aborted attack against a church in Villejuif in the Paris suburbs which was perpetrated in April 2015 by Sid-Ahmed Ghlam who was also recently sentenced to life imprisonment, the November attacks in Paris and those of March 22, 2016, in Brussels.


On August 21, 2015, El-Khazzani, then 25 years old, boarded the Amsterdam-Paris train in Brussels. He went to the toilet, took off his shirt, put a pistol in his belt and a Kalashnikov across his shoulder.

Three American tourists were alerted by a commotion when passengers opened the toilet door and disturbed him. They managed to throw themselves on him, disarm him and overpower him with the help of other passengers. The train then stopped at Arras station in France where the attacker was arrested.

""He had enough ammunition to kill 300 people,"" insisted lawyer Thibault de Montbrial, who is representing the Americans, adding he didn't doubt a ""mass attack"" had been avoided.

After keeping his silence for over a year and a half, El-Khazzani told investigators that Abaaoud, killed by the police shortly after the November 13 attacks, had asked him to target only Americans citizens.

Castex says France will continue to 'relentlessly' fight 'radical Islamism'
France attack: What do we know about the deadly stabbings in Nice?
El-Khazzani's assertions were deemed ""not serious"" by the team investigating the attack as Abaaoud was at that time preparing the November attacks against civilians. The presence of the Americans on this train was also believed to be impossible to anticipate.

The Americans, now 28 years old, will be present at the hearing on Thursday and Friday, when the testimonies of the passengers on the train are scheduled to be heard, their lawyer told the court.

The three men were celebrated as heroes in France, receiving the Legion of Honour at the Elysée Palace for their actions.

The trial, which is due to last until December 17, opens against a backdrop of a high terrorist threat after a succession of attacks in the last month in which a teacher was beheaded in Paris and three people were stabbed to death at the Notre Dame basilica in Nice.",am,https://www.euronews.com/2020/11/16/france-train-attack-four-men-go-on-trial-in-paris-over-foiled-thalys-terrorist-shooting
Barcelona terror attack: three in court in Madrid,"Trio accused of links to deadly van attack on La Rambla in 2017 and subsequent assault in nearby coastal town

Three men have appeared in court in Madrid to face trial over their alleged roles in the 2017 terror attacks in Catalonia that left 16 people dead and 140 wounded.

The perpetrators of the atrocities – Spain’s worst terror attack since the Madrid train bombings in March 2004 – used a van to knock down pedestrians on Barcelona’s La Rambla boulevard on 17 August 2017 and then staged another assault the following day in the Catalan coastal town of Cambrils.

Local police shot the five Cambrils attackers dead at the scene while officers killed the Barcelona attacker a few days later. Isis claimed responsibility for the attacks, saying their authors were “soldiers of the Islamic State”.

One of those on trial, Mohamed Houli Chemlal, said the cell had been planning larger scale bomb attacks against targets including Barcelona’s Sagrada Familia church, but had changed their plans after an explosion tore through the house where the plotters were staying in the coastal town of Alcanar.

The Catalan police, the Mossos d’Esquadra, also said the blast had deprived the group of the capacity to stage an even deadlier attack.

“The explosion in Alcanar meant they no longer had the necessary material to plan larger scale attacks in Barcelona,” said Josep Lluís Trapero, head of the force at the time. “They were probably trying to carry out a different kind of attack.”

Chemlal was injured in the blast, which killed two of the plotters, including Abdelbaki Es Satty, an imam suspected of radicalising and organising the cell.

Prosecutors are seeking a 41-year jail term for Chemlal on charges of belonging to a terrorist organisation, possession of explosives and conspiracy to commit terrorist acts. But, like his co-accused, Chemlal is not facing murder charges.

Driss Oukabir, whose brother was one of the attackers shot dead in Cambrils, faces the same charges as Chemlal, for which prosecutors are seeking a 36-year sentence. The 31-year-old has admitted hiring the van used in the Barcelona attack, but claims he believed the vehicle had been hired for a house move.

The third defendant, Said Ben Iazza, 27, faces an eight-year sentence on charges of collaborating with a terror group for allegedly lending the conspirators his identity documents and a van “that he knew would be used to buy and transport chemical products”.

The head of one of the victims’ associations that is acting as a civil party in the proceedings said he would push for the accused to answer for the deaths of those murdered in the attacks.

“[We’re] going to fight for a murder charge and sentence for the accused ... regardless of how close or far they were from the van [used in Barcelona],” said Eulogio Paz.

The trial is expected to run until 16 December.",am,https://www.theguardian.com/world/2020/nov/10/barcelona-terror-attack-three-in-court-in-madrid
"New Zealand mosque gunman pleads guilty to murder, terrorism","WELLINGTON, New Zealand (AP) — The man who committed the worst atrocity in New Zealand’s modern history when he slaughtered 51 worshippers at two Christchurch mosques unexpectedly pleaded guilty to all charges Thursday.

The attacks targeting people praying at the mosques a year ago shocked the nation and prompted new laws banning the deadliest types of semi-automatic weapons. It also prompted global changes to social media protocols after the gunman livestreamed his attack on Facebook, where it was viewed by hundreds of thousands of people.

The sudden turn in the case took survivors and relatives by surprise, and brought relief to people across New Zealand. Many had feared Australian white supremacist Brenton Harrison Tarrant would try to use his trial as a platform to promote his views. He’d outlined those views in a 74-page manifesto he published online shortly before the attacks.

Tarrant, 29, pleaded guilty to 51 counts of murder, 40 counts of attempted murder and one count of terrorism at the Christchurch High Court. He had previously pleaded not guilty to all charges and his trial had been scheduled to start in June.

Tarrant is the first person to be found guilty of terrorism in New Zealand under laws passed after the Sept. 11, 2001, terrorist attacks in the U.S.

The change in plea came less than two weeks after New Zealanders commemorated those who died on the anniversary of the March 15, 2019, attacks.

“Honestly, I’m still trying to process what just happened,” said Aya Al-Umari, whose brother Hussein was killed in the attack on the Al Noor mosque. “I feel conflicted.”

She said that on the one hand, she had wanted to find out more details about what happened at the trial but on the other hand was feeling relieved about not having to face the trauma of sitting through it.

Temel Atacocugu, who survived being shot nine times during the attack at Al Noor, said he was surprised by the turn of events and hoped the judge would set an example at the sentencing by imposing the harshest punishment in the country’s history and helping ensure nothing like it would happen again.

“I’m happy that he has accepted that he is guilty,” Atacocugu said.

,Judge Cameron Mander has not yet set a sentencing date. Tarrant faces life imprisonment, with the judge having some discretion in deciding the minimum number of years Tarrant must serve before becoming eligible for parole.

The change in plea came at a hastily arranged court hearing at a time that New Zealand was beginning a four-week lockdown to try and combat the new coronavirus. The lockdown meant Tarrant appeared in the court via video link from his jail cell in Auckland and only a handful of people were allowed inside the courtroom, including the imams from the two mosques that were attacked.

Mander said it was unfortunate the lockdown prevented victims and family members from being able to attend the hearing but the imams were helping to represent them. He said he wanted to quickly move ahead with the hearing, especially with the COVID-19 response threatening delays to the court schedule.

Tarrant, who was wearing a gray prison sweater, showed little emotion as he pleaded guilty. He didn’t indicate why he had changed his pleas, and his lawyer could not immediately be reached for comment.

New Zealand’s Prime Minister Jacinda Ardern, who was praised around the world for her empathetic response to the Muslim community after the attacks, said it was “deeply disappointing” the victims didn’t get to attend the hearing.

But she said there was “a certain sense of relief that the whole nation, but particularly our Muslim community, are being spared from a trial that could have otherwise acted as a platform.”

Tarrant moved to New Zealand in 2017 and kept a low profile in the university city of Dunedin. He frequented a gym, practiced shooting at a rifle club range and built up an arsenal of weapons. He didn’t appear to be employed, and said in some online posts that he’d inherited a significant amount of money when his father died.

Tarrant appeared to have a fascination with religious conflicts in Europe and the Balkans, and visited a number of sites in Eastern Europe in the years before he committed the massacre. After his attack at the second mosque, Tarrant was driving, possibly to carry out a shooting at a third mosque, when two police officers rammed his car off the road, dragged him out and arrested him.",am,https://apnews.com/article/f7dcfcdf74e92eb4a1c2940def5522d4
